id_student,code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,label_churn,label_churn_28d,date_registration,date_unregistration,module_presentation_length,n_assessment_submitted_28,avg_score_28,avg_submit_delay_28,total_click_28,active_days_28,distinct_resources_28
6516,AAA,2014J,M,Scotland,HE Qualification,80-90%,55<=,0,60,N,Pass,false,false,-52,,269,1,60,-2,570,19,25
8462,DDD,2013J,M,London Region,HE Qualification,30-40%,55<=,0,90,N,Withdrawn,true,false,-137,119,261,0,,,294,15,73
8462,DDD,2014J,M,London Region,HE Qualification,30-40%,55<=,1,60,N,Withdrawn,true,true,-38,18,262,1,93,-21,10,1,3
11391,AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,false,false,-159,,268,1,78,-1,303,7,24
23629,BBB,2013B,F,East Anglian Region,Lower Than A Level,20-30%,0-35,2,60,N,Fail,false,false,-47,,240,1,67,-10,39,5,6
23698,CCC,2014J,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,false,false,-110,,269,1,78,3,184,17,15
23798,BBB,2013J,M,Wales,A Level or Equivalent,50-60%,0-35,0,60,N,Distinction,false,false,-27,,268,1,90,-1,134,10,15
24186,GGG,2014B,F,Yorkshire Region,Lower Than A Level,10-20,0-35,0,30,Y,Pass,false,false,-25,,241,0,,,6,2,4
24213,DDD,2014B,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,1,60,N,Pass,false,false,-54,,241,1,78,0,495,22,34
24391,GGG,2013J,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,30,N,Distinction,false,false,-64,,261,0,,,67,7,11
24734,AAA,2014J,F,South Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass,false,false,-18,,269,1,41,4,77,6,11
25107,BBB,2013B,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass,false,false,-73,,240,1,59,1,79,5,11
25150,EEE,2014B,M,North Western Region,HE Qualification,90-100%,0-35,0,60,N,Pass,false,false,-47,,241,0,,,215,12,17
25261,CCC,2014J,F,Scotland,HE Qualification,40-50%,0-35,0,60,N,Withdrawn,true,false,-114,51,269,1,78,3,538,17,26
25572,DDD,2014J,F,London Region,HE Qualification,10-20,0-35,2,150,N,Withdrawn,true,false,-68,59,262,1,80,0,59,7,19
25629,BBB,2014B,F,Scotland,Lower Than A Level,20-30%,0-35,1,120,N,Withdrawn,true,false,-156,108,234,0,,,11,1,3
26023,GGG,2013J,M,North Western Region,Lower Than A Level,10-20,35-55,0,30,N,Pass,false,false,-37,,261,0,,,75,8,13
26192,AAA,2014J,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Distinction,false,false,-38,,269,1,87,-1,533,19,23
26211,FFF,2014B,F,London Region,HE Qualification,20-30%,35-55,0,90,N,Pass,false,false,-25,,241,1,84,-2,2020,29,77
26247,FFF,2013J,M,South East Region,HE Qualification,80-90%,35-55,2,60,N,Fail,false,false,-47,,268,1,88,-1,367,14,38
26315,BBB,2014J,F,East Anglian Region,Lower Than A Level,60-70%,35-55,1,60,N,Pass,false,false,-92,,262,1,1,-14,232,11,33
26734,BBB,2014J,M,South West Region,A Level or Equivalent,20-30%,0-35,0,90,Y,Fail,false,false,-101,,262,1,100,-13,95,8,14
26915,EEE,2013J,M,Wales,Lower Than A Level,0-10%,35-55,0,30,N,Fail,false,false,-61,,268,0,,,26,3,8
27116,CCC,2014J,M,Yorkshire Region,HE Qualification,70-80%,0-35,0,120,N,Distinction,false,false,-156,,269,1,89,3,341,16,52
27189,FFF,2014B,F,South Region,Lower Than A Level,10-20,35-55,0,120,N,Fail,false,false,-65,,241,1,52,0,229,5,34
27417,DDD,2013J,M,South West Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn,true,false,-74,208,261,0,,,35,2,8
27417,DDD,2014J,M,South West Region,Lower Than A Level,60-70%,0-35,1,60,N,Withdrawn,true,false,-131,162,262,1,80,-11,16,2,3
27683,FFF,2014B,M,London Region,HE Qualification,30-40%,0-35,0,60,N,Pass,false,false,-24,,241,1,64,0,174,12,43
27759,BBB,2013J,M,North Western Region,Lower Than A Level,40-50%,35-55,0,120,Y,Fail,false,false,-43,,268,1,61,-1,123,12,21
27780,EEE,2014B,M,Wales,A Level or Equivalent,10-20,0-35,0,150,N,Pass,false,false,-23,,241,0,,,116,4,11
27891,BBB,2013B,M,Scotland,Lower Than A Level,0-10%,0-35,2,120,Y,Withdrawn,true,false,-58,153,240,1,73,-1,171,7,16
27891,BBB,2014B,M,Scotland,Lower Than A Level,0-10%,0-35,4,120,Y,Fail,false,false,-191,,234,1,73,-13,25,2,5
27935,DDD,2013J,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,Y,Fail,false,false,-134,,261,1,75,2,260,12,37
28046,DDD,2013J,F,Yorkshire Region,HE Qualification,10-20,35-55,0,70,N,Fail,false,false,-190,,261,1,58,0,103,6,18
28061,AAA,2014J,M,Yorkshire Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,false,false,-130,,269,1,78,-1,226,16,23
28400,AAA,2013J,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,false,false,-53,,268,1,70,3,403,12,25
28418,CCC,2014B,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,30,N,Fail,false,false,-37,,241,1,30,2,155,7,26
28787,CCC,2014J,M,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,false,false,-29,,269,1,89,3,90,8,12
28808,FFF,2014B,F,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Fail,false,false,-120,,241,1,80,0,157,8,30
28897,FFF,2014B,M,South West Region,A Level or Equivalent,10-20,0-35,0,120,N,Distinction,false,false,-136,,241,1,86,-1,578,15,51
28952,CCC,2014J,F,Yorkshire Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn,true,true,-50,12,269,1,67,3,67,5,17
29144,BBB,2013B,M,South Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,false,false,-24,,240,1,60,-1,200,9,22
29335,FFF,2013J,M,West Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,false,false,-31,,268,1,94,-3,1329,26,54
29411,CCC,2014J,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,150,N,Withdrawn,true,false,-135,100,269,1,0,3,176,11,19
29411,DDD,2013J,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,false,false,-96,,261,1,75,-1,76,8,29
29420,CCC,2014J,M,Wales,A Level or Equivalent,70-80%,0-35,0,30,N,Pass,false,false,-14,,269,1,100,3,137,10,16
